Country,Amount,Date
Seychelles,55 hours,2014
Central African Republic,52 hours,2014
Kenya,52 hours,2014
Switzerland,50 hours,2014
Ethiopia,48 hours,2014
Swaziland,48 hours,2014
Liberia,48 hours,2014
Malawi,48 hours,2014
Bahrain,48 hours,2014
Bangladesh,48 hours,2014
Liechtenstein,48 hours,2014
Malaysia,48 hours,2014
Guinea,48 hours,2014
Panama,48 hours,2014
Costa Rica,48 hours,2014
Thailand,48 hours,2014
Morocco,48 hours,2014
Lebanon,48 hours,2014
Colombia,48 hours,2014
Qatar,48 hours,2014
Nepal,48 hours,2014
Maldives,48 hours,2014
Jordan,48 hours,2014
Mexico,48 hours,2014
Paraguay,48 hours,2014
Botswana,48 hours,2014
Cambodia,48 hours,2014
Argentina,48 hours,2014
Bolivia,48 hours,2014
Saudi Arabia,48 hours,2014
Guatemala,48 hours,2014
Pakistan,48 hours,2014
Yemen,48 hours,2014
United Arab Emirates,48 hours,2014
India,48 hours,2014
Cyprus,48 hours,2014
Peru,48 hours,2014
Laos,48 hours,2014
Mali,48 hours,2014
Brunei,48 hours,2014
Haiti,48 hours,2014
Uruguay,48 hours,2014
Egypt,48 hours,2014
Djibouti,48 hours,2014
Nicaragua,48 hours,2014
Kuwait,48 hours,2014
Zambia,48 hours,2014
Germany,48 hours,2014
Tunisia,48 hours,2014
Tanzania,45 hours,2014
Turkey,45 hours,2014
Mauritius,45 hours,2014
Rwanda,45 hours,2014
Belize,45 hours,2014
Suriname,45 hours,2014
Mauritania,45 hours,2014
Oman,45 hours,2014
Lesotho,45 hours,2014
Solomon Islands,45 hours,2014
South Africa,45 hours,2014
Chile,45 hours,2014
Guinea-Bissau,45 hours,2014
Democratic Republic of the Congo,45 hours,2014
Sri Lanka,45 hours,2014
Namibia,45 hours,2014
Eritrea,44.5 hours,2014
Canada,44 hours,2014
Timor-Leste,44 hours,2014
Dominican Republic,44 hours,2014
El Salvador,44 hours,2014
Papua New Guinea,44 hours,2014
Cuba,44 hours,2014
Angola,44 hours,2014
Brazil,44 hours,2014
Myanmar,44 hours,2014
Honduras,44 hours,2014
Singapore,44 hours,2014
Israel,43 hours,2014
Taiwan,42 hours,2014
Georgia,41 hours,2014
Gambia,41 hours,2014
Turkmenistan,40 hours,2014
Cameroon,40 hours,2014
Burkina Faso,40 hours,2014
Bosnia and Herzegovina,40 hours,2014
Dominica,40 hours,2014
Netherlands,40 hours,2014
Madagascar,40 hours,2014
South Korea,40 hours,2014
Tajikistan,40 hours,2014
Afghanistan,40 hours,2014
Slovakia,40 hours,2014
Vanuatu,40 hours,2014
Nauru,40 hours,2014
Montenegro,40 hours,2014
Congo,40 hours,2014
Indonesia,40 hours,2014
Libya,40 hours,2014
Finland,40 hours,2014
Portugal,40 hours,2014
Barbados,40 hours,2014
Luxembourg,40 hours,2014
Andorra,40 hours,2014
Palau,40 hours,2014
Nigeria,40 hours,2014
Ecuador,40 hours,2014
Hong Kong,40 hours,2014
Sierra Leone,40 hours,2014
Moldova,40 hours,2014
Estonia,40 hours,2014
Kosovo,40 hours,2014
Uzbekistan,40 hours,2014
Italy,40 hours,2014
Sudan,40 hours,2014
Venezuela,40 hours,2014
Senegal,40 hours,2014
Trinidad and Tobago,40 hours,2014
Hungary,40 hours,2014
Syria,40 hours,2014
Republic of North Macedonia,40 hours,2014
Serbia,40 hours,2014
Greece,40 hours,2014
Lithuania,40 hours,2014
Ghana,40 hours,2014
Slovenia,40 hours,2014
Bahamas,40 hours,2014
Spain,40 hours,2014
Gabon,40 hours,2014
Samoa,40 hours,2014
New Zealand,40 hours,2014
Jamaica,40 hours,2014
Albania,40 hours,2014
Azerbaijan,40 hours,2014
Saint Vincent and the Grenadines,40 hours,2014
Czech Republic,40 hours,2014
Saint Lucia,40 hours,2014
Mongolia,40 hours,2014
Benin,40 hours,2014
Federated States of Micronesia,40 hours,2014
Saint Kitts and Nevis,40 hours,2014
Togo,40 hours,2014
China,40 hours,2014
Armenia,40 hours,2014
Ukraine,40 hours,2014
Tonga,40 hours,2014
United States,40 hours,2014
Sweden,40 hours,2014
Vietnam,40 hours,2014
Russia,40 hours,2014
Bulgaria,40 hours,2014
Romania,40 hours,2014
Austria,40 hours,2014
Latvia,40 hours,2014
Mozambique,40 hours,2014
Uganda,40 hours,2014
Japan,40 hours,2014
Niger,40 hours,2014
Belarus,40 hours,2014
Algeria,40 hours,2014
Marshall Islands,40 hours,2014
Croatia,40 hours,2014
Grenada,40 hours,2014
Antigua and Barbuda,40 hours,2014
Burundi,40 hours,2014
Bhutan,40 hours,2014
Malta,40 hours,2014
Iceland,40 hours,2014
Kazakhstan,40 hours,2014
Poland,40 hours,2014
Kyrgyzstan,40 hours,2014
Guyana,40 hours,2014
Comoros,40 hours,2014
Monaco,39 hours,2014
Ireland,39 hours,2014
Chad,39 hours,2014
United Kingdom,38.2 hours,2014
Australia,38 hours,2014
Belgium,38 hours,2014
Norway,37.5 hours,2014
San Marino,37.5 hours,2014
Denmark,37 hours,2014
France,35 hours,2014
Equatorial Guinea,35 hours,2014
